,id,time,CurX,CurY,CurV,CurRoll,CurPitch,CurAccX,CurAccY,CurAccZ,CurGyroX,CurGyroY,CurGyroZ,Pitch,Roll,abnormal_label
50,51,2023-11-8 13:03,17.1667,1.82013,-0.013194,0.725362,-1.2213,0.349422866,0.354964666,1.359053132,0.465407,0.289925,0.015259,-2.255229207,1.310542823,2
51,52,2023-11-8 13:03,17.1666,1.82013,-0.013194,0.725953,-1.20852,0.108043555,0.113585355,1.117673822,0.40437,0.328073,-0.022888,-2.140313069,1.24376357,2
52,53,2023-11-8 13:03,17.1664,1.82013,-0.013194,0.726951,-1.19347,-0.133335755,-0.127793955,0.876294511,0.366222,0.366222,-0.045777,-2.025396931,1.176984318,2
53,54,2023-11-8 13:03,17.1663,1.82013,-0.013194,0.72622,-1.18279,-0.374715066,-0.369173266,0.634915201,0.381481,0.40437,-0.045777,-1.910480793,1.110205066,2
54,55,2023-11-8 13:03,17.1662,1.82013,-0.013194,0.724044,-1.17348,-0.616094376,-0.610552576,0.393535891,0.38911,0.427259,-0.015259,-1.795564655,1.043425814,2
55,56,2023-11-8 13:03,17.166,1.82013,-0.013194,0.721953,-1.16718,-0.857473686,-0.851931886,0.15215658,0.40437,0.427259,0.030518,-1.680648517,0.976646562,2
56,57,2023-11-8 13:03,17.1659,1.82013,-0.013194,0.718081,-1.15941,-1.098852997,-1.093311197,-0.08922273,0.39674,0.411999,0.068666,-1.565732379,0.90986731,2
57,58,2023-11-8 13:03,17.1658,1.82013,-0.012095,0.717998,-1.14975,-1.340232307,-1.334690507,-0.33060204,0.38911,0.40437,0.076296,-1.450816241,0.843088058,2
58,59,2023-11-8 13:03,17.1657,1.82013,-0.011545,0.725695,-1.13845,-1.581611617,-1.576069817,-0.571981351,0.358592,0.38911,0.061037,-1.335900103,0.776308806,2
59,60,2023-11-8 13:03,17.1655,1.82013,-0.010995,0.729559,-1.12781,-1.822990928,-1.817449128,-0.813360661,0.358592,0.358592,0.022888,-1.220983966,0.709529554,2
60,61,2023-11-8 13:03,17.1654,1.82013,-0.010995,0.728991,-1.11895,-2.064370238,-2.058828438,-1.054739971,0.335703,0.335703,0,-1.106067828,0.642750302,2
61,62,2023-11-8 13:03,17.1653,1.82013,-0.010445,0.726256,-1.11248,-2.305749548,-2.300207748,-1.296119282,0.328073,0.328073,-0.038148,-0.99115169,0.575971049,2
62,63,2023-11-8 13:03,17.1652,1.82013,-0.009896,0.721943,-1.10494,-2.547128859,-2.541587059,-1.537498592,0.320444,0.335703,-0.061037,-0.876235552,0.509191797,2
63,64,2023-11-8 13:03,17.1651,1.82013,-0.009346,0.719327,-1.09453,-2.788508169,-2.782966369,-1.778877902,0.320444,0.335703,-0.068666,-0.761319414,0.442412545,2
64,65,2023-11-8 13:03,17.165,1.82013,-0.009346,0.718396,-1.08352,-3.029887479,-3.024345679,-2.020257213,0.312814,0.335703,-0.053407,-0.646403276,0.375633293,2
65,66,2023-11-8 13:03,17.165,1.82013,-0.008796,0.719703,-1.07606,-3.27126679,-3.26572499,-2.261636523,0.282296,0.335703,-0.007629,-0.531487138,0.308854041,2
66,67,2023-11-8 13:03,17.1649,1.82013,-0.008246,0.718836,-1.0677,-3.5126461,-3.5071043,-2.503015833,0.267036,0.366222,0.022888,-0.416571,0.242074789,2
67,68,2023-11-8 13:03,17.1648,1.82013,-0.008246,0.721127,-1.05552,-0.011352,-0.005126,1.00085,0.282296,0.38911,0.061037,-1.05552,0.721127,0
68,69,2023-11-8 13:03,17.1647,1.82013,-0.007696,0.719816,-1.03994,-0.010986,-0.005859,0.999023,0.305185,0.419629,0.061037,-1.03994,0.719816,0
69,70,2023-11-8 13:03,17.1646,1.82013,-0.007696,0.718366,-1.02515,-0.01062,-0.004394,0.997924,0.343333,0.442518,0.038148,-1.02515,0.718366,0
70,71,2023-11-8 13:03,17.1646,1.82013,-0.007696,0.716765,-1.00874,-0.011718,-0.005126,0.992431,0.366222,0.465407,0,-1.00874,0.716765,0
71,72,2023-11-8 13:03,17.1645,1.82013,-0.007696,0.716531,-0.993303,-0.012817,-0.002563,0.994262,0.38911,0.465407,-0.030518,-0.993303,0.716531,0
72,73,2023-11-8 13:03,17.1644,1.82013,-0.007696,0.717313,-0.975284,-0.01062,-0.000732,0.996826,0.381481,0.442518,-0.038148,-0.975284,0.717313,0
73,74,2023-11-8 13:03,17.1643,1.82013,-0.007696,0.715206,-0.955744,-0.013916,-0.004394,0.999755,0.358592,0.411999,-0.038148,-0.955744,0.715206,0
74,75,2023-11-8 13:03,17.1643,1.82013,-0.008246,0.716574,-0.941173,3.485144467,3.491321233,4.4972773,0.320444,0.381481,-0.022888,-1.1738489,1.3477324,2
75,76,2023-11-8 13:03,17.1642,1.82013,-0.008796,0.714835,-0.925798,3.243765156,3.249941923,4.25589799,0.305185,0.366222,-0.015259,-1.137868857,1.306422595,2
76,77,2023-11-8 13:03,17.1641,1.82013,-0.008796,0.715279,-0.910399,3.002385846,3.008562613,4.014518679,0.297555,0.366222,-0.007629,-1.101888814,1.265112789,2
77,78,2023-11-8 13:03,17.164,1.82013,-0.008796,0.714943,-0.893815,2.761006536,2.767183302,3.773139369,0.320444,0.373851,0,-1.065908771,1.223802984,2
78,79,2023-11-8 13:03,17.1639,1.82013,-0.008796,0.719316,-0.879413,2.519627225,2.525803992,3.531760059,0.343333,0.38911,0.015259,-1.029928728,1.182493179,2
79,80,2023-11-8 13:03,17.1638,1.82013,-0.009346,0.721539,-0.866946,2.278247915,2.284424682,3.290380748,0.38911,0.38911,0.015259,-0.993948685,1.141183373,2
80,81,2023-11-8 13:03,17.1637,1.82013,-0.009896,0.722579,-0.856386,2.036868605,2.043045371,3.049001438,0.434888,0.39674,0.022888,-0.957968643,1.099873568,2
81,82,2023-11-8 13:03,17.1636,1.82013,-0.009896,0.719189,-0.848048,1.795489294,1.801666061,2.807622128,0.442518,0.419629,0.045777,-0.9219886,1.058563762,2
82,83,2023-11-8 13:03,17.1635,1.82013,-0.009896,0.712568,-0.843904,1.554109984,1.560286751,2.566242817,0.457777,0.427259,0.068666,-0.886008557,1.017253957,2
83,84,2023-11-8 13:03,17.1634,1.82013,-0.009896,0.708765,-0.843071,1.312730674,1.31890744,2.324863507,0.465407,0.40437,0.076296,-0.850028514,0.975944152,2
84,85,2023-11-8 13:03,17.1633,1.82013,-0.009346,0.71459,-0.841861,1.071351363,1.07752813,2.083484197,0.427259,0.38911,0.053407,-0.814048471,0.934634346,2
